Date,Open,High,Low,Close,Volume,Adj Close
17/02/17,59,60.349998,58.069,60,686000,60
16/02/17,58.400002,60.599998,58.400002,59.700001,637300,59.700001
15/02/17,57.400002,58.900002,55.799999,58.75,887400,58.75
14/02/17,57.400002,57.75,56,57.400002,650000,57.400002
13/02/17,58.75,59.099998,57.400002,57.400002,567300,57.400002
10/02/17,57.650002,59.049999,57.450001,58.549999,798900,58.549999
09/02/17,55.049999,58,54.950001,57.549999,560700,57.549999
08/02/17,54.049999,55,53.400002,54.950001,227700,54.950001
07/02/17,54.450001,54.599998,53.700001,54.349998,143700,54.349998
06/02/17,53.799999,54.450001,53.400002,54.200001,211500,54.200001
03/02/17,53.700001,54.450001,53.25,54.200001,363500,54.200001
02/02/17,52.200001,53.900002,51.599998,53.599998,345800,53.599998
01/02/17,51.900002,53.299999,51.400002,52.799999,500800,52.799999
31/01/17,49.849998,51.549999,49.400002,51.299999,299100,51.299999
30/01/17,50.849998,50.900002,49.5,50,309700,50
27/01/17,52.25,52.400002,51.25,51.549999,211500,51.549999
26/01/17,53.450001,53.5,51.799999,51.950001,229900,51.950001
25/01/17,51.099998,53.400002,51.099998,53.400002,487900,53.400002
24/01/17,50.349998,50.950001,49.936001,50.25,242500,50.25
23/01/17,50.25,50.75,49.5,50.200001,191100,50.200001
20/01/17,50.400002,51.549999,49.700001,50.25,310800,50.25
19/01/17,50.650002,51.200001,50,50.099998,215500,50.099998
18/01/17,51.299999,51.299999,49.724998,50.450001,403000,50.450001
17/01/17,51.150002,51.700001,50.25,51.049999,223400,51.049999
13/01/17,51.349998,51.799999,50.950001,51.599998,243800,51.599998
12/01/17,51.950001,52.099998,50.900002,51.349998,344900,51.349998
11/01/17,52.150002,53.400002,51.875,52.650002,224700,52.650002
10/01/17,51.950001,52.900002,51.950001,51.950001,197700,51.950001
09/01/17,52.650002,52.849998,51.75,52,237500,52
06/01/17,51.650002,53.25,51.450001,52.599998,502400,52.599998
05/01/17,49.450001,51.900002,49.349998,51.349998,518300,51.349998
04/01/17,47.849998,49.900002,47.700001,49.700001,402500,49.700001
03/01/17,47.299999,48.450001,46.799999,47.849998,364800,47.849998
30/12/16,46.849998,47.549999,46.255001,47,489000,47
29/12/16,46.200001,46.950001,46.150002,46.599998,345200,46.599998
28/12/16,47.25,47.700001,46.099998,46.150002,238400,46.150002
27/12/16,45.849998,47.900002,45.700001,47.200001,249600,47.200001
23/12/16,47.400002,47.75,45.650002,45.900002,247200,45.900002
22/12/16,47.150002,47.75,46.849998,47.450001,413600,47.450001
21/12/16,48,48.049999,46.900002,47.299999,403100,47.299999
20/12/16,48.150002,48.700001,47,47.950001,390800,47.950001
19/12/16,48.849998,50.599998,47.400002,48,618900,48
16/12/16,46.150002,47.799999,44.900002,47.400002,1020100,47.400002
15/12/16,48.700001,48.75,45.349998,45.950001,1014600,45.950001
14/12/16,49.599998,49.849998,47.900002,48.700001,392000,48.700001
13/12/16,49.450001,50.049999,49.299999,49.650002,265400,49.650002
12/12/16,49.450001,50.049999,48.150002,48.950001,318000,48.950001
09/12/16,52.099998,52.349998,49.450001,49.849998,668600,49.849998
08/12/16,51.599998,52.049999,50.549999,51.900002,260000,51.900002
07/12/16,52.200001,52.241001,50.75,51.650002,255100,51.650002
06/12/16,51.849998,52,50.450001,51.900002,587800,51.900002
05/12/16,52,53.200001,51.349998,51.849998,422200,51.849998
02/12/16,52.549999,52.75,49,51.799999,794900,51.799999
01/12/16,56,56.400002,52.200001,52.75,688800,52.75
30/11/16,57.299999,57.599998,56.049999,56.099998,332600,56.099998
29/11/16,58.200001,58.700001,56.549999,56.75,246000,56.75
28/11/16,57.799999,59.200001,57.599998,58.400002,390700,58.400002
25/11/16,57.5,58,57,57.75,109400,57.75
23/11/16,57.099998,58.099998,56.75,57.700001,188000,57.700001
22/11/16,57.299999,57.900002,56.200001,57.450001,169500,57.450001
21/11/16,57.950001,58,56.549999,57.25,195000,57.25
18/11/16,58.150002,58.349998,57.150002,57.299999,337500,57.299999
17/11/16,57.900002,58.049999,56.849998,57.549999,300100,57.549999
16/11/16,56.150002,58.224998,55.849998,57.599998,321300,57.599998
15/11/16,55.049999,57.049999,54.855,56.299999,181900,56.299999
14/11/16,58.099998,58.25,55.900002,56,260700,56
11/11/16,57.599998,58,56.950001,57.849998,408000,57.849998
10/11/16,57.25,58,55.75,57.549999,651300,57.549999
09/11/16,53.450001,56.849998,53.200001,56.75,448700,56.75
08/11/16,53.700001,55.25,52.950001,54.599998,269000,54.599998
07/11/16,51.950001,54.900002,51.950001,54.450001,688500,54.450001
04/11/16,49.400002,52.099998,49.099998,50.900002,777800,50.900002
03/11/16,54.900002,54.900002,49.450001,49.950001,1279300,49.950001
02/11/16,50.799999,53.200001,48.549999,48.900002,689100,48.900002
01/11/16,52.450001,52.799999,50.799999,51.599998,367900,51.599998
31/10/16,53.849998,53.849998,52.049999,52.450001,442100,52.450001
28/10/16,52.549999,53.849998,52.25,52.349998,276000,52.349998
27/10/16,52.400002,52.849998,51.900002,52.299999,340100,52.299999
26/10/16,52.400002,53.200001,51.75,51.900002,197500,51.900002
25/10/16,53.299999,53.5,51.950001,52.75,306600,52.75
24/10/16,53.299999,53.799999,53,53.450001,155100,53.450001
21/10/16,52,53.25,51.849998,52.75,217300,52.75
20/10/16,52.650002,53.5,52.400002,52.549999,181300,52.549999
19/10/16,53.049999,54.650002,52.5,52.849998,182900,52.849998
18/10/16,52.299999,52.849998,51.450001,52,326800,52
17/10/16,53.099998,53.549999,51.25,51.5,233500,51.5
14/10/16,54.049999,54.700001,52.900002,53.25,233000,53.25
13/10/16,54.450001,54.5,53,53.650002,209700,53.650002
12/10/16,55.599998,55.849998,54.549999,54.799999,162400,54.799999
11/10/16,57.599998,57.650002,55.5,55.650002,119900,55.650002
10/10/16,57.400002,58.849998,57.400002,58.049999,189000,58.049999
07/10/16,58,58.349998,56.724998,57.549999,196200,57.549999
06/10/16,58.349998,59,57,58,430300,58
05/10/16,57.299999,58.650002,57.200001,58.25,208400,58.25
04/10/16,57.450001,58,56.493,57.549999,177800,57.549999
03/10/16,57,57.700001,56.950001,57.599998,140800,57.599998
30/09/16,56.830002,57.830002,56.09,57.619999,197200,57.619999
29/09/16,56.540001,56.900002,55.810001,56.380001,142200,56.380001
28/09/16,55.529999,56.950001,55.529999,56.919998,170500,56.919998
27/09/16,55.290001,55.880001,54.900002,55.290001,402000,55.290001
26/09/16,56.150002,56.299999,55.209999,55.279999,405000,55.279999
23/09/16,58.779999,58.779999,56.52,56.77,266000,56.77
22/09/16,57.880001,59.009998,57.290001,59.009998,387500,59.009998
21/09/16,55.849998,57.630001,55.700001,57.529999,227700,57.529999
20/09/16,55.150002,55.650002,54.830002,55.470001,204000,55.470001
19/09/16,55.990002,56.68,54.810001,54.82,181600,54.82
16/09/16,54.939999,56.139999,54.5,55.869999,1031600,55.869999
15/09/16,54.439999,55.150002,53.599998,55.139999,319100,55.139999
14/09/16,53.52,55.139999,53.310001,54.5,467900,54.5
13/09/16,55.419998,55.738998,52.84,53.389999,457800,53.389999
12/09/16,53.16,55.220001,53.139999,55.209999,277000,55.209999
09/09/16,55.630001,56.060001,53.720001,53.75,388900,53.75
08/09/16,57.380001,57.459999,55.869999,56.310001,239800,56.310001
07/09/16,57.630001,57.98,57.209999,57.59,291000,57.59
06/09/16,57,57.48,56.639999,57.450001,446900,57.450001
02/09/16,56.34,57.029999,56.139999,57.009998,246300,57.009998
01/09/16,54.900002,56.470001,54.889999,56.130001,179500,56.130001
31/08/16,55.709999,56.139999,53.77,55.740002,343700,55.740002
30/08/16,56.75,57.029999,55.779999,56.02,692800,56.02
29/08/16,56.73,57.029999,56.02,56.299999,229800,56.299999
26/08/16,55.830002,56.82,55.610001,56.779999,263500,56.779999
25/08/16,54.419998,56.07,54.25,55.779999,202700,55.779999
24/08/16,57,57.189999,55.029999,55.830002,535500,55.830002
23/08/16,55.990002,57.029999,55.361,56.880001,352700,56.880001
22/08/16,56.049999,56.060001,54.919998,55.490002,288200,55.490002
19/08/16,56.32,56.91,55.919998,56.299999,281000,56.299999
18/08/16,55.919998,56.759998,54.044998,56.290001,375700,56.290001
17/08/16,56.990002,57.095001,55.84,56.939999,338300,56.939999
16/08/16,58.830002,58.959999,56.939999,56.990002,434700,56.990002
15/08/16,59,59.970001,58.98,59.48,267300,59.48
12/08/16,59.32,59.5,58.810001,59.009998,151800,59.009998
11/08/16,59.419998,59.970001,58.950001,59.16,345100,59.16
10/08/16,58.57,59.43,58.509998,59.259998,396700,59.259998
09/08/16,57.650002,58.98,57.540001,58.650002,398300,58.650002
08/08/16,56.650002,57.959999,56.050999,57.740002,402500,57.740002
05/08/16,56.970001,58.110001,56.511002,58.040001,449500,58.040001
04/08/16,54.959999,59,53.73,56.700001,1693100,56.700001
03/08/16,52.490002,53.59,49.75,50.57,915700,50.57
02/08/16,53.580002,53.66,52.740002,53.240002,386200,53.240002
01/08/16,54.290001,54.299999,52.220001,53.869999,367400,53.869999
29/07/16,52.27,54.599998,51.41,54.59,479200,54.59
28/07/16,52,52.57,51.509998,52.25,437000,52.25
27/07/16,53.139999,53.139999,51.310001,51.75,300300,51.75
26/07/16,53.41,53.740002,52.119999,52.84,170600,52.84
25/07/16,52.43,53.23,52.18,53.200001,210300,53.200001
22/07/16,51.349998,52.740002,50.919998,52.529999,154600,52.529999
21/07/16,52.75,53.290001,51.130001,51.18,269700,51.18
20/07/16,51.709999,53.125,51.16,52.799999,325300,52.799999
19/07/16,52.959999,53.130001,51.07,51.080002,274300,51.080002
18/07/16,51.41,52.259998,51.16,51.759998,207800,51.759998
15/07/16,50.639999,51.580002,50.304001,51.52,225500,51.52
14/07/16,49.25,51.91,49.25,51.759998,624700,51.759998
13/07/16,50.540001,50.990002,49.029999,49.25,312400,49.25
12/07/16,49.169998,50.834999,48.919998,50.209999,607800,50.209999
11/07/16,46.389999,49.02,46.060001,48.779999,477600,48.779999
08/07/16,44.48,46.439999,44.275002,46.330002,294100,46.330002
07/07/16,42.849998,44.130001,42.830002,43.880001,219000,43.880001
06/07/16,42.119999,43.119999,41.709999,42.849998,186300,42.849998
05/07/16,42.939999,43.139999,41.950001,42.509998,144700,42.509998
01/07/16,43.360001,44.139999,43.299999,43.419998,236300,43.419998
30/06/16,44,44.18,42.790001,43.419998,334800,43.419998
29/06/16,42.98,44.189999,42,44.02,423400,44.02
28/06/16,42.459999,43.990002,42.200001,42.400002,390300,42.400002
27/06/16,44.77,45.41,41.630001,41.689999,532400,41.689999
24/06/16,45,47.41,44.560001,44.939999,1542700,44.939999
23/06/16,47.119999,48.66,46.580002,48.66,334600,48.66
22/06/16,46.75,46.82,45.810001,46.41,419200,46.41
21/06/16,47.689999,47.860001,46.450001,46.599998,218700,46.599998
20/06/16,47.330002,48.950001,46.84,47.599998,239100,47.599998
17/06/16,47.700001,47.700001,45.91,46.639999,443800,46.639999
16/06/16,48.080002,48.599998,47.34,47.599998,230800,47.599998
15/06/16,48.560001,49.07,48.099998,48.439999,200700,48.439999
14/06/16,48.130001,48.790001,47.639999,48.220001,240600,48.220001
13/06/16,48.990002,49.169998,46.209999,48.290001,540400,48.290001
10/06/16,49.509998,50.880001,48.869999,49.060001,302800,49.060001
09/06/16,50.700001,51.830002,48.970001,49.470001,512800,49.470001
08/06/16,52.209999,52.48,51.549999,52.150002,341900,52.150002
07/06/16,51.990002,53.080002,51.924999,52.240002,336200,52.240002
06/06/16,51.950001,51.990002,51.310001,51.84,281100,51.84
03/06/16,51.23,52.23,50.630001,51.869999,584900,51.869999
02/06/16,50.490002,52,49.609001,52,334400,52
01/06/16,47.849998,50.93,47.849998,50.610001,945000,50.610001
31/05/16,46.950001,48.130001,46.59,47.759998,498600,47.759998
27/05/16,45.560001,46.860001,45.130001,46.720001,257800,46.720001
26/05/16,45.18,46.080002,44.689999,45.68,285000,45.68
25/05/16,45.509998,45.77,45.099998,45.529999,205100,45.529999
24/05/16,44.09,45.73,44.049999,45.459999,316200,45.459999
23/05/16,45.110001,45.43,43.400002,43.869999,440500,43.869999
20/05/16,44.27,46.810001,43.990002,45.66,230900,45.66
19/05/16,44.240002,44.924999,43.630001,43.990002,129600,43.990002
18/05/16,44.27,44.799999,43.720001,44.169998,154000,44.169998
17/05/16,44.82,45.84,44.029999,44.5,227000,44.5
16/05/16,44.540001,45.470001,44.099998,45.119999,168000,45.119999
13/05/16,44.110001,45.43,43.98,44.299999,270400,44.299999
12/05/16,45,45.450001,43.630001,44.259998,226700,44.259998
11/05/16,44,45.23,43.900002,44.869999,239600,44.869999
10/05/16,42.970001,44.299999,42.029999,44.220001,360700,44.220001
09/05/16,44.279999,44.98,42.560001,42.93,350100,42.93
06/05/16,43.369999,44.709999,42.759998,44.509998,307200,44.509998
05/05/16,47.630001,48.470001,43.07,43.689999,690300,43.689999
04/05/16,45.599998,47.02,45.275002,46.25,663600,46.25
03/05/16,46.720001,47.18,44.945,45.810001,379800,45.810001
02/05/16,44.740002,47.23,44.27,47.220001,433200,47.220001
29/04/16,45.040001,45.59,44.139999,44.290001,220400,44.290001
28/04/16,44.869999,45.66,44.257999,45.040001,216600,45.040001
27/04/16,44.490002,45.040001,44.200001,45.009998,136300,45.009998
26/04/16,44.580002,44.990002,44,44.52,295000,44.52
25/04/16,44.82,45.064999,44.150002,44.369999,159300,44.369999
22/04/16,45.080002,45.43,44.580002,44.810001,289400,44.810001
21/04/16,43.939999,45.575001,43.599998,45.139999,452300,45.139999
20/04/16,42.98,43.91,42.389999,43.619999,116000,43.619999
19/04/16,43.540001,43.935001,42.560001,42.869999,173900,42.869999
18/04/16,42.380001,44.445,42.25,43.52,496000,43.52
15/04/16,40.970001,42.150002,40.895,42.049999,234900,42.049999
14/04/16,40.080002,40.900002,39.810001,40.82,227600,40.82
13/04/16,39.759998,40.77,39.41,40.610001,352000,40.610001
12/04/16,41.52,41.580002,39.009998,39.57,549900,39.57
11/04/16,42.169998,43.07,41.459999,41.459999,399400,41.459999
08/04/16,42.34,42.82,41.826,42.080002,356100,42.080002
07/04/16,43.209999,43.389999,41.564999,41.810001,233500,41.810001
06/04/16,41.98,43.98,41,43.869999,497800,43.869999
05/04/16,42.389999,42.389999,40.57,41.950001,492100,41.950001
04/04/16,42.509998,43.119999,41.959999,42.869999,361200,42.869999
01/04/16,43.299999,43.619999,42.380001,43.150002,291500,43.150002
31/03/16,44.990002,45.09,41.400002,43.619999,994000,43.619999
30/03/16,45.5,45.689999,43.799999,44.970001,494700,44.970001
29/03/16,45.939999,46.029999,45.110001,45.73,408100,45.73
28/03/16,45.07,46.68,44.709999,46.139999,182200,46.139999
24/03/16,45.259998,45.330002,44.07,44.93,269700,44.93
23/03/16,46.849998,47.049999,45.16,45.400002,372100,45.400002
22/03/16,46.07,47.84,46.07,47.009998,298000,47.009998
21/03/16,45.73,46.560001,45.259998,46.419998,421100,46.419998
18/03/16,44.709999,45.819,44.709999,45.720001,615000,45.720001
17/03/16,44.139999,44.68,42.869999,44.369999,229400,44.369999
